product_id,time_period,quantity,price,cost_shock,store_id,product_category,income,population,trend
1,1,31.1,14.7,0.797,39,1,38.6,130.1,1
1,2,31.86,18.49,2.994,29,7,51.6,147.9,2
1,3,38.3,13.61,-0.762,15,8,38.3,144.6,3
1,4,58.96,14.63,0.484,43,5,64.4,38.8,4
1,5,45.3,14.34,0.202,8,2,45.7,102.9,5
2,1,41.22,17.88,2.087,21,5,62.7,127.4,1
2,2,28.27,15.97,0.212,39,6,56.5,151.0,2
2,3,35.63,13.42,-0.685,19,2,38.1,119.2,3
2,4,84.06,11.57,-3.038,23,6,57.5,74.2,4
2,5,85.95,13.72,0.188,11,6,40.0,78.2,5
3,1,48.76,12.51,-0.14,11,1,51.0,79.0,1
3,2,36.6,12.03,-4.069,24,1,45.4,109.2,2
3,3,41.91,13.79,-2.013,36,10,63.5,85.6,3
3,4,47.26,12.06,-1.195,40,3,58.1,8.7,4
3,5,47.75,13.24,-1.195,24,10,49.5,64.7,5
4,1,24.22,13.61,-0.056,3,10,39.7,86.7,1
4,2,22.67,12.75,-0.22,22,3,31.0,59.1,2
4,3,39.69,14.23,-0.126,2,4,52.0,63.6,3
4,4,28.59,18.73,4.519,24,2,40.5,161.5,4
4,5,23.93,12.73,-0.883,44,9,21.8,99.7,5
5,1,27.34,10.98,-1.739,30,10,30.0,88.4,1
5,2,48.88,18.65,3.134,38,7,74.4,120.0,2
5,3,20.09,16.91,2.928,2,7,40.1,134.4,3
5,4,83.25,14.73,-2.164,21,6,66.2,167.2,4
5,5,47.6,17.13,2.427,33,3,44.7,151.2,5
6,1,55.48,12.51,-3.693,12,6,68.6,113.0,1
6,2,36.35,19.55,5.741,22,8,67.5,54.0,2
6,3,24.3,16.09,3.566,44,8,37.6,69.9,3
6,4,17.8,15.01,1.064,25,9,20.2,87.9,4
6,5,30.07,14.35,1.717,49,1,21.5,115.2,5
7,1,32.21,15.02,0.887,27,1,37.9,102.8,1
7,2,92.21,14.45,-1.318,42,3,78.3,55.8,2
